,name,url,info,industry,turn,city
0,PandaABC,company/61655379,英语培训机构,industry.EDUCATION_TRAINING,phase.A,city.浙江省
1,追一科技,company/110818,聊天机器人研发商,industry.AI,phase.C,city.广东省
2,涂鸦智能,company/27774,全球化智能AI与IoT开发者平台,industry.AI,phase.C,city.浙江省
3,IHS智触,company/27830842,IHS机器人触觉技术平台,industry.MEDICAL_HEALTH,phase.SEED,city.广东省
4,超节点创新科技,company/136353,机器视觉解决方案提供商,industry.AI,phase.A,city.广东省
5,龙境科技,company/93826,基于ARM技术架构创新服务提供商,industry.SERVICE_INDUSTRIES,phase.PRE_A,city.浙江省
6,中新智擎,company/35662933,人形智能机器人研发商,industry.ROBOT,phase.A,city.广东省
7,高木学习,company/113444,人工智能教育引擎及平台提供商,industry.EDUCATION_TRAINING,phase.A,city.广东省
8,玄羽科技,company/58652556,智能工厂解决方案供应商,industry.MANUFACTURING,phase.A,city.广东省
9,精准学,company/65344879,AI教育服务提供商,industry.AI,phase.A,city.浙江省
10,云图睿视,company/11946556,机器视觉边缘计算供应商,industry.AI,phase.NONE,city.四川省
11,Aupera视频解决方案,company/16719120,视频数据应用服务提供商,industry.MANUFACTURING,phase.ANGEL,city.广东省
12,知衣科技,company/28981280,AI电商解决方案提供商,industry.AI,phase.A,city.浙江省
13,旭宏医疗,company/63197064,人工智能慢病预防与管理企业,industry.MEDICAL_HEALTH,phase.PRE_A,city.广东省
14,标天下,company/19071,知识产权S2B供应链服务平台,industry.SERVICE_INDUSTRIES,phase.ANGEL,city.广东省
15,Goodscan,company/19329157,货物体积智能测量设备开发商,industry.AI,phase.PRE_A,city.广东省
16,灵声机器人,company/84951798,智能客服机器人研发商,industry.AI,phase.A,city.浙江省
17,爱目云,company/25517277,眼科智能诊断平台,industry.MEDICAL_HEALTH,phase.NONE,city.浙江省
18,云从科技,company/27486,人脸识别技术研发及应用解决方案提供商,industry.AI,phase.B_PLUS,city.广东省
19,镭神智能,company/17188,激光雷达产品研发商,industry.AI,phase.B,city.广东省
20,桃树数据,company/133396,AI建模工具与数据智能解决方案提供商,industry.AI,phase.B,city.浙江省
21,博脑医疗,company/45487594,智能脑影像分析系统研发商,industry.MEDICAL_HEALTH,phase.A,city.广东省
22,腾视科技,company/69243,车辆主动安全驾驶辅助系统提供商,industry.AUTO,phase.ANGEL,city.广东省
23,易视智瞳,company/19825379,工业视觉技术解决方案提供商,industry.AI,phase.A,city.广东省
24,速腾聚创,company/98071,多线激光雷达研发商,industry.AI,phase.INFORMAL,city.广东省
25,优必选,company/8056,智能人形机器人研发商,industry.ROBOT,phase.C_PLUS,city.广东省
26,文远知行,company/96778785,汽车自动驾驶系统研发商,industry.AI,phase.A_PLUS,city.广东省
27,达闼科技,company/36321,云端智能机器人运营商,industry.ROBOT,phase.B,city.广东省
28,声希科技,company/180185,AI英语学习平台,industry.EDUCATION_TRAINING,phase.ANGEL,city.广东省
29,悉点科技,company/90431252,酒店AI人证核验终端提供商,industry.AI,phase.NONE,city.浙江省
30,碳云智能,company/87561,数字化健康管理平台,industry.MEDICAL_HEALTH,phase.B,city.广东省
31,睿瀚医疗,company/163814,智能手部康复机器人研发商,industry.ROBOT,phase.PRE_A,city.广东省
32,排列科技,company/27048432,大数据金融风险管理服务提供商,industry.FINANCE,phase.A,city.浙江省
33,晓多客服,company/16717,在线客服机器人研发商,industry.AI,phase.B,city.四川省
34,迪英加科技,company/2143778,肿瘤活检切片图像智能分析平台,industry.MEDICAL_HEALTH,phase.A,city.浙江省
35,智易科技,company/52917386,AI技术与服务提供商,industry.AI,phase.ANGEL,city.广东省
36,睿沿科技,company/55355984,计算机视觉技术研发商,industry.AI,phase.ANGEL,city.四川省
37,眼擎科技,company/109616,AI视觉成像芯片研发商,industry.AI,phase.PRE_A,city.广东省
38,大象声科,company/94939367,语音增强技术研发商,industry.AI,phase.A,city.广东省
39,启英泰伦,company/96174235,语音识别芯片研发商,industry.INTELLIGENT_HARDWARE,phase.A,city.四川省
40,精锐视觉,company/16974258,智能视频检测系统提供商,industry.AI,phase.A,city.广东省
41,声扬科技,company/47534598,声纹识别技术研发商,industry.AI,phase.PRE_A,city.广东省
42,工匠社,company/57697,竞技娱乐机器人研发商,industry.ROBOT,phase.B,city.广东省
43,健培,company/36700,医学影像技术服务商,industry.MEDICAL_HEALTH,phase.B,city.浙江省
