,name,url,info,industry,turn,city
0,追一科技,company/110818,聊天机器人研发商,industry.AI,phase.C,city.广东省
1,IHS智触,company/27830842,IHS机器人触觉技术平台,industry.MEDICAL_HEALTH,phase.SEED,city.广东省
2,超节点创新科技,company/136353,机器视觉解决方案提供商,industry.AI,phase.A,city.广东省
3,中新智擎,company/35662933,人形智能机器人研发商,industry.ROBOT,phase.A,city.广东省
4,高木学习,company/113444,人工智能教育引擎及平台提供商,industry.EDUCATION_TRAINING,phase.A,city.广东省
5,开为科技,company/2314074,机器视觉智慧零售服务商,industry.AI,phase.A,city.江苏省
6,玄羽科技,company/58652556,智能工厂解决方案供应商,industry.MANUFACTURING,phase.A,city.广东省
7,小跑科技,company/45117834,物流行业大数据整体解决方案提供商,industry.SERVICE_INDUSTRIES,phase.NONE,city.江苏省
8,云图睿视,company/11946556,机器视觉边缘计算供应商,industry.AI,phase.NONE,city.四川省
9,Aupera视频解决方案,company/16719120,视频数据应用服务提供商,industry.MANUFACTURING,phase.ANGEL,city.广东省
10,旭宏医疗,company/63197064,人工智能慢病预防与管理企业,industry.MEDICAL_HEALTH,phase.PRE_A,city.广东省
11,标天下,company/19071,知识产权S2B供应链服务平台,industry.SERVICE_INDUSTRIES,phase.ANGEL,city.广东省
12,Goodscan,company/19329157,货物体积智能测量设备开发商,industry.AI,phase.PRE_A,city.广东省
13,硅基智能,company/55595236,金融行业智能语音和机器人视觉解决方案提供商,industry.FINANCE,phase.B,city.江苏省
14,仙衣无缝,company/78211889,线上5D虚拟试衣平台,industry.VR_AR,phase.NONE,city.山东省
15,隼眼科技,company/84036997,车载毫米波雷达研发商,industry.AI,phase.A,city.江苏省
16,云从科技,company/27486,人脸识别技术研发及应用解决方案提供商,industry.AI,phase.B_PLUS,city.广东省
17,镭神智能,company/17188,激光雷达产品研发商,industry.AI,phase.B,city.广东省
18,博脑医疗,company/45487594,智能脑影像分析系统研发商,industry.MEDICAL_HEALTH,phase.A,city.广东省
19,腾视科技,company/69243,车辆主动安全驾驶辅助系统提供商,industry.AUTO,phase.ANGEL,city.广东省
20,李群自动化,company/46448,工业机器人研发商,industry.ROBOT,phase.C,city.广东省
