,name,url,info,industry,turn,city
0,REAL ID,company/82649055,新加坡数字身份认证服务平台,industry.AI,phase.SEED,city.海外
1,PlusAI,company/8167400,无人驾驶机动车研发商,industry.AI,phase.A_PLUS,city.海外
2,AnyVision,company/24796872,以色列视觉识别技术研发商,industry.AI,phase.A,city.海外
3,DFKI,company/77097203,德国人工智能技术研发商,industry.AI,phase.INFORMAL,city.海外
4,Neurogress,company/34861511,瑞士AI神经网络控制系统研发商,industry.AI,phase.NONE,city.海外
5,Hover,company/88219058,房屋3D建模应用开发商,industry.AI,phase.C,city.海外
6,MTailor,company/18787593,美国人工智能男装定制电商平台,industry.E_COMMERCE,phase.A,city.海外
7,AIDA Technologies,company/34382306,新加坡AI决策分析系统研发商,industry.AI,phase.A,city.海外
8,Paperspace,company/1905720,美国AI应用开发平台提供商,industry.SERVICE_INDUSTRIES,phase.A,city.海外
9,富安投,company/97961183,韩国智能投顾服务提供商,industry.FINANCE,phase.NONE,city.海外
10,Passage AI,company/50031869,美国聊天机器人研发商,industry.AI,phase.A,city.海外
11,MediaGamma,company/46231167,英国在线用户行为预测服务商,industry.AI,phase.NONE,city.海外
12,MARKABLE,company/14274399,视觉识别AI技术服务提供商,industry.AI,phase.NONE,city.海外
13,VergeSense,company/5373580,美国AI室内空间规划设备研发商,industry.AI,phase.SEED,city.海外
14,SMECorner.com,company/54513893,数字借贷服务提供商,industry.FINANCE,phase.INFORMAL,city.海外
15,Brodmann17,company/39880074,以色列深度学习视觉技术服务商,industry.AI,phase.A,city.海外
16,Cortex,company/10759611,美国基于人工智能的内容营销创意素材提供商,industry.MEDIA,phase.NONE,city.海外
17,Landing.ai,company/60194776,AI技术研发商,industry.AI,phase.NONE,city.海外
18,remove.bg,company/73364118,美国图片背景修整工具,industry.SOFTWARE,phase.NONE,city.海外
19,AI Singapore,company/20031780,新加坡人工智能服务提供商,industry.AI,phase.NONE,city.海外
20,NoPassword,company/93410672,美国身份验证工具制造商,industry.AI,phase.NONE,city.海外
21,Tap reason,company/56327051,以色列AI用户行为预测系统研发商,industry.AI,phase.NONE,city.海外
22,niki.ai,company/17346262,印度智能聊天机器人研发商,industry.AI,phase.A,city.海外
23,Coya,company/99934329,德国保险服务提供商,industry.FINANCE,phase.SEED,city.海外
24,Chinesee,company/99917417,欧洲商业短视频营销平台,industry.AI,phase.NONE,city.海外
25,Cardiogram,company/99865873,美国心脏健康监测管理平台,industry.MEDICAL_HEALTH,phase.NONE,city.海外
26,Shone,company/99830206,自动驾驶系统研发商,industry.AI,phase.INFORMAL,city.海外
27,Spring Health,company/99790007,美国抑郁症诊疗服务提供商,industry.MEDICAL_HEALTH,phase.ANGEL,city.海外
28,Translate One2One,company/99685794,实时翻译耳机研发商,industry.INTELLIGENT_HARDWARE,phase.NONE,city.海外
29,drive.ai,company/99672904,自动驾驶解决方案服务商,industry.AI,phase.B_PLUS,city.海外
30,DigiConnectt,company/99609533,人工智能销售分析支持解决方案提供商,industry.AI,phase.SEED,city.海外
31,Emza,company/99591730,机器视觉算法研发商,industry.AI,phase.INFORMAL,city.海外
32,Heroz,company/99316213,AI算法技术研发商,industry.AI,phase.INFORMAL,city.海外
33,OpenFinancial,company/99185562,印度会计自动化服务平台,industry.SERVICE_INDUSTRIES,phase.A,city.海外
34,North Focals,company/99082044,加拿大智能眼镜研发商,industry.VR_AR,phase.B,city.海外
35,iUNU,company/99023332,美国计算机视觉技术研发商,industry.AI,phase.ANGEL,city.海外
36,Tagos,company/98924929,印度人工智能视频交互平台,industry.AI,phase.A,city.海外
37,Hudl,company/98924187,比赛训练视频分析服务提供商,industry.SPORTS,phase.D,city.海外
38,NTT DoCoMo,company/98922866,日本移动通信运营服务商,industry.SERVICE_INDUSTRIES,phase.NONE,city.海外
39,Echobox,company/98839439,英国智能内容服务公司,industry.SERVICE_INDUSTRIES,phase.INFORMAL,city.海外
40,REAL ID,company/82649055,新加坡数字身份认证服务平台,industry.AI,phase.SEED,city.海外
41,PlusAI,company/8167400,无人驾驶机动车研发商,industry.AI,phase.A_PLUS,city.海外
42,AnyVision,company/24796872,以色列视觉识别技术研发商,industry.AI,phase.A,city.海外
43,DFKI,company/77097203,德国人工智能技术研发商,industry.AI,phase.INFORMAL,city.海外
44,Neurogress,company/34861511,瑞士AI神经网络控制系统研发商,industry.AI,phase.NONE,city.海外
45,Hover,company/88219058,房屋3D建模应用开发商,industry.AI,phase.C,city.海外
46,MTailor,company/18787593,美国人工智能男装定制电商平台,industry.E_COMMERCE,phase.A,city.海外
47,AIDA Technologies,company/34382306,新加坡AI决策分析系统研发商,industry.AI,phase.A,city.海外
48,Paperspace,company/1905720,美国AI应用开发平台提供商,industry.SERVICE_INDUSTRIES,phase.A,city.海外
49,富安投,company/97961183,韩国智能投顾服务提供商,industry.FINANCE,phase.NONE,city.海外
50,Passage AI,company/50031869,美国聊天机器人研发商,industry.AI,phase.A,city.海外
51,MediaGamma,company/46231167,英国在线用户行为预测服务商,industry.AI,phase.NONE,city.海外
52,MARKABLE,company/14274399,视觉识别AI技术服务提供商,industry.AI,phase.NONE,city.海外
53,VergeSense,company/5373580,美国AI室内空间规划设备研发商,industry.AI,phase.SEED,city.海外
54,SMECorner.com,company/54513893,数字借贷服务提供商,industry.FINANCE,phase.INFORMAL,city.海外
55,Brodmann17,company/39880074,以色列深度学习视觉技术服务商,industry.AI,phase.A,city.海外
